venue,chain,address,kind,btc_collateral,collateral_usd,debt_usd,borrowed,identified_as,fits_definition
Aave v4 spoke 0x94e7a5dc,Ethereum,0xcdd342b253f3ea24d4ce1c5f040c1288e4214fe6,EOA,10.553,7831276,3947226,USDG,EOA,N (EOA)
Morpho Blue cbBTC/USDC,Base,0xaee9eeCBba3ed2d2110d2b277A64d4FB110B55e1,contract,130.0442,11258431,3941014,USDC,Coinbase Smart Wallet (retail borrower),N
Morpho Blue cbBTC/USDC,Base,0xcfeB2f34Fb50e6c6Fea317AEDc26A9eEBd68A037,contract,118.2885,10240693,3922575,USDC,Coinbase Smart Wallet (retail borrower),N
Morpho Blue WBTC/USDT,Ethereum,0xe8DBDFcDF838bbFBE59A9EF3a2Bb18EE7f819c61,EIP7702-EOA(delegate 0x63c0c19a282a1b52b07dd5a65b58948a07dae32b),70.0228,6061958,3897338,USDT,EIP-7702 delegated EOA,N (EOA)
aave-eth-core (deep pages),1,0x62897E744E0c71860EA74Bd88858B0F4Afbf72Dd,EOA,46.5037,6337233,3890091,total debt (all assets),EOA,N (EOA)
Morpho Blue WBTC/USDT,Ethereum,0x54c03157950c67AF1bbE06Cb20073a465C564Af9,EIP7702-EOA(delegate 0x63c0c19a282a1b52b07dd5a65b58948a07dae32b),69.1548,5986819,3847894,USDT,EIP-7702 delegated EOA,N (EOA)
aave-eth-core,1,0xcfd73D7867Da130B20DA492C583031782D63B449,contract,50.6534,7788353,3844022,GHO,Safe 1/1 multisig (no vault or share-token logic; self-directed position),N
Morpho Blue WBTC/USDT,Ethereum,0x941D30928AA51c00d56ab53483C71C6C7316c37E,EIP7702-EOA(delegate 0x63c0c19a282a1b52b07dd5a65b58948a07dae32b),68.6863,5946262,3827631,USDT,EIP-7702 delegated EOA,N (EOA)
spark-eth,1,0xD22Ce4Fc867dccE46bBD74Be535f41e2444395C1,EOA,98.714,8542561,3789002,USDC,EOA,N (EOA)
Morpho Blue WBTC/USDT,Ethereum,0x7c3b7f9E7a1F4341D300c4DC19C44f14d692aE8E,EIP7702-EOA(delegate 0x63c0c19a282a1b52b07dd5a65b58948a07dae32b),68.0513,5891287,3786813,USDT,EIP-7702 delegated EOA,N (EOA)
Morpho Blue cbBTC/USDC,Base,0x640bC0b01f515bb1F005Adb3f61d46D81Ad468B6,contract,121.5638,10524252,3784847,USDC,Coinbase Smart Wallet (retail borrower),N
Morpho Blue mHyperBTC/cbBTC,Monad,0xCc63cC49Db99f9e228470CEC57b64190Bd019a74,EOA,57.0733,5082778,3775668,cbBTC,EOA,N (EOA)
aave-eth-core,1,0xDAF585a5869cA7c1C0b1B9896ecDF314668D3F55,contract,89.6106,7754667,3766118,USDT,Safe 2/5 multisig (no vault or share-token logic; self-directed position),N
aave-eth-core,1,0x1ef60266e8092ae098B2e6650FA1e0422f229a7c,EOA,100.0166,8655074,3760405,USDT,EOA,N (EOA)
aave-eth-core,1,0x560fB4225020987563c8A3C0850e4Ca3dC457Be3,EOA,19.1861,7746471,3757877,USDC,EOA,N (EOA)
aave-eth-core,1,0x570c430D081d7C102140E15a7Ab68075682E5ad9,EOA,80.9512,7486207,3756064,DAI,EOA,N (EOA)
aave-eth-core,1,0x93451c4e47a3acA9629aDd4b0b60707E3f19A15A,EOA,85.002,7659777,3753194,USDT,EOA,N (EOA)
Morpho Blue cbBTC/USDC,Base,0x01c525849A7aA6d7B2c02C4ECD77dF502b44cAc4,contract,96.3215,8338924,3748659,USDC,Coinbase Smart Wallet (retail borrower),N
Morpho Blue cbBTC/USDC,Base,0x94345433d6A51cA851cCDA971f5999a80875960f,contract,60.0273,5196797,3710662,USDC,Coinbase Smart Wallet (retail borrower),N
aave-eth-core,1,0x1EFb4136EdEf3Bbad2Abc7f1E354A6720e4Ff365,EOA,136.5897,11822563,3641681,USDT,EOA,N (EOA)
aave-eth-core,1,0xFEfa1c66ce1522EFbb0D5189bA702E76E6Bcaf3c,contract,101.5009,8787455,3606984,USDC,Safe 2/4 multisig (no vault or share-token logic; self-directed position),N
Morpho Blue cbBTC/USDC,Base,0x7463bBb3a6DF783aD18A7955CEac622c80c9C0Fc,contract,76.9766,6664158,3599944,USDC,Coinbase Smart Wallet (retail borrower),N
Compound v3 cUSDCv3 (WBTC),Ethereum,0x274b56e812b7951b737e450a22e849860c8ada11,EOA,100.0,0,3540000,USDC,EOA,N (EOA)
aave-eth-core,1,0x5ca1630E29962932ce96B5480742D71FcdaF63af,EOA,81.4924,7052135,3524068,USDT,EOA,N (EOA)
Morpho Blue cbBTC/USDC,Base,0x5A73669A3B9A1381439DFD9F0D998529009eA27a,contract,59.1497,5120814,3517411,USDC,Coinbase Smart Wallet (retail borrower),N
spark-eth (deep pages),1,0xd7215DbBd6e595a57e4dDc7786EF068F8dA8B564,EOA,0.42,4479610,3508726,total debt (all assets),EOA,N (EOA)
aave-eth-core,1,0x588B530e0d6d5C15AfD56012434752296D70b36b,EOA,133.5021,19831660,3479865,USDC,EOA,N (EOA)
aave-eth-core,1,0xB0809Dc7d52aA1112DCCFE33958a50186A952Ba9,EOA,91.6943,7935149,3472195,USDC+USDT+EURC,EOA,N (EOA)
Morpho Blue cbBTC/USDC,Base,0x9321Cd026aCd69c0F31b855A1bbbBaa16c78D36B,EIP7702-EOA(delegate 0x7702cb554e6bfb442cb743a7df23154544a7176c),110.08,9530050,3468068,USDC,EIP-7702 delegated EOA,N (EOA)
aave-eth-core,1,0x5F360F1DE284551B2550a2e057CdfB1ca8051fA3,EOA,78.2942,6775305,3429044,USDT,EOA,N (EOA)
aave-eth-core,1,0xbf16e9B0aADdef8ea03ba2C599a9eBF287277391,EOA,45.2472,6081082,3419416,USDT+GHO,EOA,N (EOA)
Morpho Blue cbBTC/USDC,Base,0x1107f2c585a7CE74D08f3bA8A8306a9655167901,contract,80.9992,7012417,3402244,USDC,Coinbase Smart Wallet (retail borrower),N
aave-eth-core,1,0xF44431967D8b3Ae3a2a994AC9fCC74A8d35F9156,EOA,80.4367,6960774,3392459,USDT+EURC,EOA,N (EOA)
Kamino main market,Solana,9ydV7E5JqjAHNP369Fc9ZxDK8W1vHcL5LmSpoGb56K8h,System-owned wallet (EOA equivalent),,6057758,3362071,USDG,Solana wallet,N (wallet)
aave-eth-core,1,0x8f5ef1b8E357a81A7E0cC270A46Af730005a3cb8,EOA,116.0067,10823763,3317794,GHO,EOA,N (EOA)
aave-eth-core,1,0xE71CbF47Fff309813bcea54f3ecF49a5F129264D,EOA,58.1607,11331512,3277281,USDC+USDT,EOA,N (EOA)
Morpho Blue cbBTC/EURCV,Ethereum,0x559458Aac63528fB18893d797FF223dF4D5fa3C9,EIP7702-EOA(delegate 0x63c0c19a282a1b52b07dd5a65b58948a07dae32b),69.3037,5999887,3274789,EURCV,EIP-7702 delegated EOA,N (EOA)
Morpho Blue cbBTC/USDC,Base,0x780B9846Da7bF687BeBA131Cf5ad624A5546E0E3,contract,99.0981,8579303,3247476,USDC,Coinbase Smart Wallet (retail borrower),N
Compound v3 cUSDCv3 (WBTC),Ethereum,0xec6ea79dddfcf2f9185464f3efb1285c8c22380d,EOA,76.45,0,3220000,USDC,EOA,N (EOA)
Compound v3 cUSDCv3 (cbBTC),Ethereum,0xec6ea79dddfcf2f9185464f3efb1285c8c22380d,EOA,23.0,0,3220000,USDC,EOA,N (EOA)
Morpho Blue cbBTC/USDC,Base,0xb37d921C6c2D96343C0d0ccB3D8a65F7D5EC1081,EIP7702-EOA(delegate 0x7702cb554e6bfb442cb743a7df23154544a7176c),96.8302,8382965,3180137,USDC,EIP-7702 delegated EOA,N (EOA)
aave-eth-core,1,0xb291F15266A525d389A467af383041753fba007e,contract,45.1628,5642318,3132167,USDC+USDT,Safe 2/4 multisig (no vault or share-token logic; self-directed position),N
Morpho Blue cbBTC/USDC,Base,0x824C53A39cB150c9FD5597BeF856F8CC2d815c90,contract,47.2507,4090674,3129560,USDC,Coinbase Smart Wallet (retail borrower),N
aave-eth-core,1,0x42283FA21d5642c1744C2888f041DdEA5d79149C,EOA,135.3328,11711320,3123357,USDT,EOA,N (EOA)
aave-eth-core,1,0x9407253BBD6F8CE7C1f061792a495A54e5cbB911,EOA,132.774,15437879,3092869,USDT,EOA,N (EOA)
aave-eth-core,1,0x82d5D7c66e0fD623cecA1d7ea34FdB8132002523,EOA,231.5002,21400580,3080124,USDC+DAI,EOA,N (EOA)
aave-eth-core (deep pages),1,0xf8153167313Ce9cFCB45BD4afF2B543513388163,EOA,44.2599,12926418,3080116,total debt (all assets),EOA,N (EOA)
Morpho Blue cbBTC/USDC,Base,0xe5CeA600E0D967e6b25243969899aEeAE9a58dbd,contract,201.0492,17405603,3060178,USDC,Coinbase Smart Wallet (retail borrower),N
aave-eth-core (deep pages),1,0x6249099E4a2AacB70621C432D537Fe6BbDB5251c,EOA,30.4712,4551055,3058520,total debt (all assets),EOA,N (EOA)
aave-eth-core,1,0x3CbCaB298039FF7FCA5220C807768CAB6F849500,EOA,99.7904,8635557,3018058,USDT,EOA,N (EOA)
aave-eth-core,1,0x0F9f4bb12f766370bDed83C5a12d94a5Cb2745F9,EOA,181.5063,15788370,3009324,USDT,EOA,N (EOA)
aave-eth-core,1,0x09d63d136A0a98960Cee7835d2f794A89Ea71697,EOA,100.0014,8657629,3006279,USDC,EOA,N (EOA)
Morpho Blue kBTC/PYUSD,Ethereum,0xD4F9Ce639DDF663212579514ABEd27266a5cfE3C,EOA,82.212,7125401,3001790,PYUSD,EOA,N (EOA)
Compound v3 cUSDTv3 (WBTC),Ethereum,0x53fb0162bc8d5eec2fb1532923c4f8997bace111,EOA,65.0,0,3000000,USDT,EOA,N (EOA)
Morpho Blue cbBTC/USDC,Base,0x39C1E6f73c37e1960A45b90B9908134241Ca9C22,contract,99.1018,8579623,2993490,USDC,Coinbase Smart Wallet (retail borrower),N
Morpho Blue cbBTC/USDC,Ethereum,0x70fCE97d671E81080CA3ab4cc7A59aAc2E117137,contract,108.6453,9405842,2986444,USDC,Safe 2/4 holding OETH/ARM LP (Origin-related treasury); no share token,N
Morpho Blue WBTC/USDC,Ethereum,0x70fCE97d671E81080CA3ab4cc7A59aAc2E117137,contract,108.6609,9406908,2983362,USDC,Safe 2/4 holding OETH/ARM LP (Origin-related treasury); no share token,N
spark-eth,1,0x43911ee0012CdAbf825D1FFE3A3E372C9d477618,EOA,58.9575,8326608,2965280,USDT+USDS,EOA,N (EOA)
aave-eth-core (deep pages),1,0x7dF25ED19086F00e0539C7C9A2a6234E0689905E,EOA,27.5487,10723781,2957971,total debt (all assets),EOA,N (EOA)
Morpho Blue cbBTC/USDC,Ethereum,0xeD1Ee275eEea0Fd4541F44Cc519FAB5Cb24f6632,EOA,95.1376,8236430,2928343,USDC,EOA,N (EOA)
Kamino main market,Solana,BS1jhgXmm1TTZL3RC5zfeQ74u1uhfPhfimvADcqHHF1D,System-owned wallet (EOA equivalent),,5105562,2913804,USDG,Solana wallet,N (wallet)
aave-eth-core,1,0x75f747FA437a60300fda8805763f782fDd869b55,EOA,132.6401,12537669,2879358,USDT,EOA,N (EOA)
Morpho Blue cbBTC/USDC,Base,0x5Cbfe356FF1Bc76A1c8fBedFf9041F0b9783befd,contract,59.1654,5122180,2826248,USDC,Coinbase Smart Wallet (retail borrower),N
Morpho Blue cbBTC/USDC,Base,0x3a17180e3CC9db2a6B00D137b571b595F0F2f631,contract,65.0519,5631794,2824653,USDC,Coinbase Smart Wallet (retail borrower),N
Morpho Blue vbWBTC/vbUSDC,Katana,0xdb9e930f11D56CA3657910c9FC539BC5C8Aaa0c3,EOA,62.8666,5445334,2795744,vbUSDC,EOA,N (EOA)
Compound v3 cUSDCv3 (cbBTC),Ethereum,0x46e5a9d73ff25d8fbd82a22107517d7aab9bca2d,EOA,53.38,0,2790000,USDC,EOA,N (EOA)
aave-eth-core,1,0x33eeCc48943aAeabb5328A25ff28eb85F67945C2,EOA,340.4085,29457831,2759068,USDC+USDT,EOA,N (EOA)
aave-eth-core,1,0x36A71dbDd66Ef9361bA95302372932526A2002a7,EIP7702-EOA(delegate 0x63c0c19a282a1b52b07dd5a65b58948a07dae32b),101.566,8789219,2753929,USDC,EIP-7702 delegated EOA,N (EOA)
Morpho Blue cbBTC/USDC,Ethereum,0x4158BA71a75c257c90714F1d38aD11793104b756,contract,62.699,5428098,2752279,USDC,Safe 2/9 multisig (no vault or share-token logic; self-directed position),N
Morpho Blue cirBTC/USDC,Arc,0x8A25d8C9fa8C7A726137f2D618d85CbC2C083F78,EOA,64.9799,5636111,2749761,USDC,EOA,N (EOA)
Morpho Blue cbBTC/USDC,Base,0x47Fc25e46BcB61f25010417A61934e099307acfE,contract,68.1538,5900342,2746105,USDC,Coinbase Smart Wallet (retail borrower),N
aave-eth-core,1,0x789a1F3F87129845E24E826d72636E1d0baa9e31,EOA,14.4565,11717086,2723274,USDT,EOA,N (EOA)
aave-base,8453,0xa149612889184c5cF1B14Ee82ff05B6fbCe6899D,EIP7702-EOA(delegate 0x63c0c19a282a1b52b07dd5a65b58948a07dae32b),50.5971,4371769,2719315,USDC,EIP-7702 delegated EOA,N (EOA)
aave-eth-core (deep pages),1,0xA0B26A453763cf34b41C922B0b795FbA04822C17,EOA,38.0192,8737271,2701812,total debt (all assets),EOA,N (EOA)
Morpho Blue cbBTC/USDC,Ethereum,0x38534c588C6878D28269e030C8bD785B7BDf65Dd,contract,65.8942,5704715,2696370,USDC,ZeroDev Kernel smart account (individual),N
Morpho Blue cbBTC/USDC,Base,0xC2Cf831d1FB0ca053771501f1F971b3e4c245a5C,contract,59.2161,5126568,2687932,USDC,Coinbase Smart Wallet (retail borrower),N
Morpho Blue cbBTC/USDC,Base,0xA12b736d3128865d5bb3d235407F1dAdf8C19cE2,contract,60.6137,5247562,2686068,USDC,Coinbase Smart Wallet (retail borrower),N
aave-eth-core,1,0x2F8d4E7b1d771932E1367Ee46F4c7bE11CD94ac3,EOA,63.3055,5478406,2670379,USDC+DAI+USDT,EOA,N (EOA)
Compound v3 cUSDCv3 (WBTC),Ethereum,0xa81ace214b97d4b9c2072a934d0c4de486757538,EOA,45.02,0,2610000,USDC,EOA,N (EOA)
Compound v3 cUSDTv3 (WBTC),Ethereum,0x9ac60bd825eb8fd0240e4daf2646c1050830013e,EOA,60.0,0,2610000,USDT,EOA,N (EOA)
Morpho Blue cbBTC/USDC,Base,0xdA905450166c6574cEE0Cd276b898f62d7368Ee9,EOA,80.0,6925909,2603962,USDC,EOA,N (EOA)
Morpho Blue cbBTC/USDC,Base,0xa7b9204B1bAbDb3e1b7269e9501b3AE3E789e7c3,contract,73.0232,6321901,2563963,USDC,Coinbase Smart Wallet (retail borrower),N
aave-eth-core,1,0x38A3F675970f85DEbA1839b5d46Bd9eF5D3214a9,EOA,49.0058,9110463,2562280,USDC,EOA,N (EOA)
Morpho Blue cbBTC/USDT,Ethereum,0xcEF76232310b7Ad0EB986412073119bd84E325ea,EIP7702-EOA(delegate 0x63c0c19a282a1b52b07dd5a65b58948a07dae32b),61.0,5281005,2549012,USDT,EIP-7702 delegated EOA,N (EOA)
aave-eth-core,1,0x02bee1A4e0303d389BAce558CF3EA944B95994F5,EOA,71.7791,6211675,2539995,USDT,EOA,N (EOA)
spark-eth,1,0xcb7e0558be839953ce3131657A1100444D1938b7,EOA,22.5049,7970327,2536563,USDC+USDT,EOA,N (EOA)
aave-eth-core,1,0xe5A5901BD4f22EbEa7d2abFc842355ebA0aaa0e4,EOA,60.0057,5192807,2533817,USDC,EOA,N (EOA)
Morpho Blue kBTC/RLUSD,Ethereum,0xB1BC0548A2A9afa1F3eB7B76c1cE6f51dc23D351,EOA,59.01,5114461,2523864,RLUSD,EOA,N (EOA)
aave-eth-core (deep pages),1,0xb12Be28a24E11700baC8e9Ab2117FAfe3622eEf3,contract,40.1189,4304867,2521393,total debt (all assets),Safe 1/1 multisig (no vault or share-token logic; self-directed position),N
Fluid vault 22 WBTC->USDT,Ethereum,0xd711193c2068575bcfadf3d51b98a0f573cc6492,EIP7702-EOA(delegate,41.66087581,0,2513306,USDT,EIP-7702 delegated EOA,N (EOA)
Morpho Blue WBTC/USDT,Ethereum,0x030c4DA3889F135ae46FebD29Ce05053D58669bD,EOA,56.59,4899067,2505623,USDT,EOA,N (EOA)
aave-eth-core (deep pages),1,0x23c225cceD72e95F4CB3c553b41C54d8FA9FFCf2,EOA,44.0825,3814723,2503446,total debt (all assets),EOA,N (EOA)
Compound v3 cUSDCv3 (WBTC),Ethereum,0xe0dca72978a0224c54ca1a0de766bd2ce00cfb27,EOA,49.38,0,2500000,USDC,EOA,N (EOA)
Morpho Blue cbBTC/USDC,Ethereum,0x5D82AE8FC9ad408507a3EBdBC48A97e20AA8F737,EOA,50.0105,4329604,2499966,USDC,EOA,N (EOA)
aave-eth-core (deep pages),1,0x7C1593C39B048bB19e255679bA8505Ac7E5F4D12,EIP7702-EOA(delegate,15.0,6892849,2495610,total debt (all assets),EIP-7702 delegated EOA,N (EOA)
aave-eth-core,1,0x61860fd94315a1C3566136675e21fa4813D02719,EOA,90.7693,7855098,2492101,USDC,EOA,N (EOA)
aave-eth-core,1,0x2AEa39e27Fc87De4A63963687C6e188F062197b4,EOA,76.5981,9470755,2487807,DAI+USDT,EOA,N (EOA)
Morpho Blue vbWBTC/vbUSDC,Katana,0xEDc66382f1e7Fe11C259761CBddbdCb995Bf472E,EOA,43.9017,3802651,2487702,vbUSDC,EOA,N (EOA)
aave-eth-core,1,0xdD9BD62D1c08210fDDa6f841eD5196B45A939625,EIP7702-EOA(delegate 0x63c0c19a282a1b52b07dd5a65b58948a07dae32b),60.5159,5236880,2484836,USDT,EIP-7702 delegated EOA,N (EOA)
Morpho Blue cbBTC/USDC,Ethereum,0x7376b927836243f21b327164055891Eb4290f213,EOA,43.6443,3778453,2481605,USDC,EOA,N (EOA)
Morpho Blue cbBTC/USDC,Base,0xF5980d56fe1f7BCF26102d297db60F65d90ddF49,contract,62.0968,5375962,2461455,USDC,Coinbase Smart Wallet (retail borrower),N
aave-eth-core,1,0xb81765a9c8C2b91007a9b3f431c880CFB9b997Ce,EOA,51.4799,10786220,2452246,USDC,EOA,N (EOA)
Morpho Blue cbBTC/USDC,Base,0x9752840cAE1447E46E231823B2cCe617d26Ce9b1,contract,46.1516,3995520,2423110,USDC,Coinbase Smart Wallet (retail borrower),N
Morpho Blue WBTC/USDC,Ethereum,0x405dBF6606336AB3d6574f78EDdfA68038e9F9A1,contract,42.4012,3670725,2407762,USDC,Safe 1/1 multisig (no vault or share-token logic; self-directed position),N
aave-eth-core,1,0xa6e77a924493D1380992cc96a56dF6F5856ccd7C,contract,62.8245,5436696,2389324,DAI,Safe 1/1 multisig (no vault or share-token logic; self-directed position),N
Fluid vault 21 WBTC->USDC,Ethereum,0xca21c7c991599d73af0ceea0e80e59383e6e171c,EOA,40.2673578,0,2363878,USDC,EOA,N (EOA)
aave-eth-core,1,0xB6D2e0b2Db5731D4103D7fdF223ed3917cF402e9,EOA,60.7857,5260234,2354850,USDT,EOA,N (EOA)
aave-eth-core (deep pages),1,0xEeB5F2460828d1160F55F656A288896Cfb562E4d,EOA,30.293,3676555,2353602,total debt (all assets),EOA,N (EOA)
Morpho Blue cirBTC/USDC,Arc,0xB61F900042a0Fcc5D99713D952f4e60b20A920ff,EOA,43.4973,3772790,2349798,USDC,EOA,N (EOA)
aave-eth-core,1,0x523c51aC731a61B196535e318ba50119F7D9cd78,EOA,50.6982,4387937,2344637,USDT,EOA,N (EOA)
Morpho Blue cbBTC/USDC,Ethereum,0x54Ac74A05AAD151071b2AA7EAaFd907dBb829Bd9,EOA,60.0677,5200290,2340810,USDC,EOA,N (EOA)
Morpho Blue WBTC/USDT,Ethereum,0xDC74DdBBeE459Aa72608B70F02ff516E432fd85C,EIP7702-EOA(delegate 0x63c0c19a282a1b52b07dd5a65b58948a07dae32b),42.0308,3638657,2333317,USDT,EIP-7702 delegated EOA,N (EOA)
Morpho Blue cbBTC/USDC,Base,0xb7b5b558D10FE854f2545a4B6129dA0Ebc82AEEa,contract,36.7036,3177574,2318987,USDC,Coinbase Smart Wallet (retail borrower),N
aave-eth-core,1,0xA470CA0A3e5FF250Cc8612B62f8a0703F92dEb3A,contract,58.2343,5039436,2317389,USDC+USDT,Safe 2/3 multisig (no vault or share-token logic; self-directed position),N
Morpho Blue cbBTC/USDC,Base,0x3658D261247Dd37ADff2F3B925153A8401628B61,contract,51.0002,4415283,2313556,USDC,Coinbase Smart Wallet (retail borrower),N
aave-eth-core,1,0xCf95085403e67B980c01dd4347B4aDcF883E6843,EOA,55.0524,4766160,2312190,USDC,EOA,N (EOA)
Kamino main market,Solana,eG18CoFTtydMNfEzjDb6Yt8rc1WfSHeHJGdxgUfVscE,System-owned wallet (EOA equivalent),,2108956,2303518,USDG,Solana wallet,N (wallet)
aave-eth-core,1,0xbbD01f9B63aE317c55B9a6837C51Bb2b6394B5d5,EOA,72.0404,6234318,2302405,USDT,EOA,N (EOA)
aave-eth-core,1,0xa9490f0C8d46E01C5B11bc333eB7df608B9122AF,EOA,43.8513,7312357,2297099,USDC+USDT,EOA,N (EOA)
Morpho Blue cbBTC/USDC,Base,0xDeA59C6b83448517ad90F0f9f9755B9cbceE1fCd,contract,56.9765,4932674,2291320,USDC,Coinbase Smart Wallet (retail borrower),N
Morpho Blue kBTC/PYUSD,Ethereum,0xd83687a8aD139688F5D0eAA9fc352A10f532C2Af,EIP7702-EOA(delegate 0x0000fb7702036ff9f76044a501ac1aa74cbab16b),45.6518,3956687,2285281,PYUSD,EIP-7702 delegated EOA,N (EOA)
aave-eth-core (deep pages),1,0x75828f132030B6686a1e5aC017e96da20c5Cd540,EOA,49.9602,6612634,2257222,total debt (all assets),EOA,N (EOA)
Morpho Blue cbBTC/USDC,Base,0x757b45a3AC0b641B15Ac60451537f3591646766f,contract,55.7548,4826912,2248933,USDC,Coinbase Smart Wallet (retail borrower),N
Morpho Blue cbBTC/USDC,Base,0x7778FcD4c041A490a17fFe6dAd222D319D1F4470,contract,60.3499,5224722,2246346,USDC,Coinbase Smart Wallet (retail borrower),N
aave-eth-core,1,0x8C6Aa32b1FBf7746D46eF2c18871633F896211E6,EOA,72.4326,6829250,2237949,USDT,EOA,N (EOA)
Morpho Blue cbBTC/USDC,Base,0xFf367c5b2E9b0DBBC390f6eaE34cA7458DAf7d96,contract,44.2508,3830963,2235846,USDC,Coinbase Smart Wallet (retail borrower),N
Morpho Blue WBTC/USDC,Ethereum,0xB5fBAb1a71dB52b77bC44D0859287A40103bB9d6,EOA,47.6359,4123898,2233132,USDC,EOA,N (EOA)
aave-eth-core,1,0x31aD853B9584F909c7B4D413D1e9Fc7c125995bD,EOA,68.0316,5887334,2229704,USDT,EOA,N (EOA)
aave-eth-core,1,0xfEe5BE290D4A1A50CAFf611389Ba2120A4095d78,EIP7702-EOA(delegate 0x63c0c19a282a1b52b07dd5a65b58948a07dae32b),13.8522,5319058,2223356,USDC+GHO,EIP-7702 delegated EOA,N (EOA)
Compound v3 cUSDTv3 (WBTC),Ethereum,0x5ee96329a93ec738d55c97958df29452a9327ffa,contract,51.0,0,2160000,USDT,"DSProxy (individual, DeFi Saver/Maker style)",N
Compound v3 cUSDCv3 (WBTC),Ethereum,0x397b7bd1c5a426b03686b66dfdb7496de641eead,EOA,84.91,0,2150000,USDC,EOA,N (EOA)
spark-eth,1,0x338a07Cf3e117d446FFBd3Bc4a60787f892be222,EIP7702-EOA(delegate 0x63c0c19a282a1b52b07dd5a65b58948a07dae32b),53.117,4597521,2132717,USDT,EIP-7702 delegated EOA,N (EOA)
Morpho Blue cbBTC/USDC,Base,0xD2b47aeC5A8b48dAD7b8435360f7675032CF7B5e,contract,52.8629,4576549,2132028,USDC,Coinbase Smart Wallet (retail borrower),N
Compound v3 cUSDCv3 (WBTC),Ethereum,0x2102e7aed2e0ca2da43a171ecc75e9e234acb95c,EOA,50.01,0,2130000,USDC,EOA,N (EOA)
aave-eth-core,1,0x1349BE152879937339ea7e4741D84A2Ea1483F96,EOA,65.1587,6999923,2116854,USDC,EOA,N (EOA)
aave-eth-core,1,0x28dEb686bb8D6a3ef6F3490bbCaea40A39053c8c,EOA,120.0573,10389445,2113948,USDC,EOA,N (EOA)
Morpho Blue cbBTC/USDC,Base,0xf0877E499DcB7bBf7d5f7FaA0224B55F87788244,contract,45.4885,3938118,2112864,USDC,Coinbase Smart Wallet (retail borrower),N
aave-eth-core,1,0x53a745270b9e8F0136F23e28fDA6a5aDe5618431,EOA,69.7802,6038549,2080333,USDT,EOA,N (EOA)
aave-arb,42161,0x1de5366615BCEB1BDb7274536Bf3fc9f06Aa9c2C,EOA,35.6407,6299479,2080294,USD₮0+USDC,EOA,N (EOA)
aave-eth-core (deep pages),1,0x882A709563b1Cbb711fD285ECe751564e56830d5,EOA,44.997,3893862,2079888,total debt (all assets),EOA,N (EOA)
aave-eth-core,1,0x54a1b5C470FdCf516B84A495B4ACdF800B6f734E,EOA,17.1949,4478560,2078497,USDT,EOA,N (EOA)
aave-eth-core (deep pages),1,0x45371Ed1b5cc92048a036f29914e78659Be424f7,EOA,40.8218,4876718,2064538,total debt (all assets),EOA,N (EOA)
aave-eth-core,1,0xC65b975d471D33a83a746BB69fD72A84b57Adb93,contract,28.6673,4172649,2055481,GHO,Safe 1/1 multisig (no vault or share-token logic; self-directed position),N
spark-eth,1,0x0dEca49FE145E27c07B891a8b9d9a7D9fC744F30,EOA,130.1252,11260279,2047501,USDT+USDS,EOA,N (EOA)
Morpho Blue cbBTC/USDC,Base,0xE991feB0D5d3F02F9dbFB198401610B8E14d85Bb,contract,45.4731,3936784,2038501,USDC,Coinbase Smart Wallet (retail borrower),N
aave-eth-core,1,0x32013A1C66516139f89234cC859ca15FE10A7DA2,contract,25.0236,5078726,2038096,USDC+USDT,Safe 2/2 multisig (no vault or share-token logic; self-directed position),N
aave-eth-core (deep pages),1,0xe154ee67cc3B48Ec5b5E597854B9fa1C68BbFDef,contract,45.0675,3899970,2036208,total debt (all assets),Summer.fi DPM proxy (individual account),N
Morpho Blue cbBTC/USDC,Base,0x462Dac86245Cdbcb131274418B1f52eE74e4322D,contract,46.6239,4036412,2027660,USDC,Coinbase Smart Wallet (retail borrower),N
Morpho Blue cbBTC/USDC,Base,0x02Cff421b1559bcaf73c1dEa4aeE1fefaCeF64a9,contract,55.9529,4844056,2027654,USDC,Coinbase Smart Wallet (retail borrower),N
Compound v3 cUSDCv3 (cbBTC),Ethereum,0x54fbced3198a9595adb111d3543b25eaa2534e5d,EOA,47.69,0,2020000,USDC,EOA,N (EOA)
aave-eth-core,1,0xC7eC86236b08E1Ed80c5A47CD479275784a184f4,EOA,64.999,5627301,2016518,USDC,EOA,N (EOA)
aave-eth-core,1,0xb7387E11060D14Fe5DB69880F24CE66D1F8CfE1A,EOA,89.4466,7743843,2002063,USDC,EOA,N (EOA)
Compound v3 cUSDCv3 (WBTC),Ethereum,0x29232f94e71382229761fea877e2e37693048936,EOA,51.73,0,2000000,USDC,EOA,N (EOA)
Compound v3 cUSDCv3 (cbBTC),Ethereum,0x29232f94e71382229761fea877e2e37693048936,EOA,8.13,0,2000000,USDC,EOA,N (EOA)
