venue,chain,address,kind,btc_collateral,collateral_usd,debt_usd,borrowed,identified_as,fits_definition
aave-eth-core,1,0xFa5484533aCF47bc9F5d9Dc931FcdbbdCeFb4011,contract,566.1589,48994027,18681928,USDC,Instadapp DSA (individual account),N
aave-eth-core,1,0x3290b7E095E756EE0fa9f51c4087C9F6546eE4fB,EOA,439.7278,38249820,18484745,USDC+USDT,EOA,N (EOA)
aave-eth-core,1,0xF523259262979a26095474974b56443AD34c53B7,contract,347.0971,30036420,17703732,USDT,Kraken Bitcoin Vault - LoanManager (Aave WBTC/USDT),Y
Compound v3 cUSDTv3 (WBTC),Ethereum,0xcefe83811ed89bb35e5224314885aeccf00298ac,EOA,36.08,0,16220000,USDT,EOA,N (EOA)
spark-eth,1,0x1cAC5F5733Eaa98b64500eEB79891e5Cb2cd46a1,EOA,405.0753,35068661,16022783,USDS,EOA,N (EOA)
Compound v3 cUSDCv3 (WBTC),Ethereum,0xc94a3ff0bac12eeb9ff0cc4e08511e1ffad6ba94,EOA,207.63,0,14740000,USDC,EOA,N (EOA)
aave-eth-core,1,0x941AD3eBD8321797b9B53a87AdE232E5d85973D1,EOA,420.0,36347154,13825355,DAI,EOA,N (EOA)
Morpho Blue WBTC/USDT,Ethereum,0x6bA9c7d86eBD6A20817d482C42C9dE2806EeFB7e,EOA,320.425,27739590,13787833,USDT,EOA,N (EOA)
Compound v3 cUSDTv3 (WBTC),Ethereum,0x562859c109170e59e5a1f14712e36a08c117559f,EOA,306.57,0,13700000,USDT,EOA,N (EOA)
aave-eth-core,1,0x28376b3B5E891CA9ABA834E2797A63f061aF1039,EOA,281.9826,26856733,13485919,USDC+USDT,EOA,N (EOA)
Compound v3 cUSDCv3 (WBTC),Ethereum,0x2756bb9746af8355f85394c5d034897ba2635e0c,contract,243.5,0,12880000,USDC,Instadapp DSA (individual account),N
spark-eth,1,0x9297989B23C5Fb2A1340C65a8C63B0C46FC721bF,EOA,296.4362,25655007,12579739,USDC+USDT,EOA,N (EOA)
aave-eth-core,1,0x855904De035c9d86A301aF364159E7237B2536c0,EOA,420.026,36363787,12440599,USDC,EOA,N (EOA)
aave-eth-core,1,0xDf2609ec3d2e07a79d2E25e52960E75250Bd9AAa,EOA,189.1106,24625164,12087646,GHO,EOA,N (EOA)
aave-eth-core,1,0x399B610E64cfC26988B3A476b438a5f73976cA70,EOA,303.2005,29007872,11976690,USDT,EOA,N (EOA)
aave-eth-core (deep pages),1,0x1E2799e0071E535468097E04Ad23b9FE3Ae5A6A5,EOA,18.6587,13448739,11698744,total debt (all assets),EOA,N (EOA)
aave-eth-core,1,0x219dE81f5d9b30f4759459C81c3CF47AbaA0dED1,EOA,321.1593,27936113,11644522,USDT,EOA,N (EOA)
aave-eth-core,1,0x36Aab712E7E6820608D5C974d6f9A615ecfD46DB,EOA,534.8606,46285804,11373581,USDT,EOA,N (EOA)
aave-eth-core,1,0xF11F844Bc13E7912B78F0Ee8b8168f8EF32be22D,EOA,335.0,28991183,11033746,DAI,EOA,N (EOA)
aave-eth-core,1,0x34bF8DcB3ed8cF8AaB57B1D8330cAb8BA5246708,EOA,169.3298,24074077,10648383,USDC+USDT,EOA,N (EOA)
aave-eth-core,1,0xb01ec8485bb3B7eaA7BB13c73645D91434a29bc4,EOA,300.9447,37181631,10510701,USDC+USDT,EOA,N (EOA)
aave-eth-core,1,0x0a95f877498a3eD5AF87f10EDeBf63412DcFAaE7,contract,277.9905,24056551,10397861,USDC,Safe 2/2 multisig (no vault or share-token logic; self-directed position),N
spark-eth,1,0x3eEb5e43Bcb9ED151a13a2CfB584a171Dcb1aEba,EOA,219.4945,32947467,10340738,USDT,EOA,N (EOA)
Compound v3 cUSDCv3 (WBTC),Ethereum,0x31b13fa1c6e786854f62fd0d6cb41d9b64639cf8,EOA,9.52,0,10330000,USDC,EOA,N (EOA)
spark-eth,1,0x5f46d540b6eD704C3c8789105F30E075AA900726,contract,207.8811,17990963,10301229,USDC+PYUSD,ether.fi Liquid BTC (Veda BoringVault),Y
aave-eth-core,1,0xAf1931548fB335bf1dCeC13e788DbAAA8b79A4d5,EIP7702-EOA(delegate 0x63c0c19a282a1b52b07dd5a65b58948a07dae32b),226.9331,19638207,10200196,USDC+USDT,EIP-7702 delegated EOA,N (EOA)
aave-eth-core,1,0x935AD0fBea9572bB24138F23A69e314f0BDbdDbE,EOA,335.9561,29073085,10148938,USDT,EOA,N (EOA)
aave-eth-core,1,0xB7Fb2B774Eb5E2DaD9C060fb367AcBdc7fA7099B,EOA,400.0031,47201846,10117657,USDT,EOA,N (EOA)
aave-eth-core (deep pages),1,0x9332D0cE5D45184515e0EA85bf9f4af09Cbf10Af,EOA,26.4316,48032938,9787969,total debt (all assets),EOA,N (EOA)
aave-eth-core,1,0x01329db67e9a963695c65766a298f9876e87dEf4,EOA,63.7323,21944546,9377967,USDC+USDT,EOA,N (EOA)
aave-eth-core,1,0xadfD7fa3eF9e23c3B44F2384dAD5bB876f15e00E,EOA,79.9999,17733498,9347778,USDC,EOA,N (EOA)
Compound v3 cUSDCv3 (WBTC),Ethereum,0x46305af898c4d4ac1bc4469b55cd5bc402fb0128,EOA,180.11,0,8960000,USDC,EOA,N (EOA)
Compound v3 cUSDTv3 (WBTC),Ethereum,0x7df25ed19086f00e0539c7c9a2a6234e0689905e,EOA,250.16,0,8930000,USDT,EOA,N (EOA)
Morpho Blue WBTC/USDC,Ethereum,0xeB9b0A7844ED7Be427Fd3d7d23765b1901ee7c20,EOA,153.6111,13298300,8915414,USDC,EOA,N (EOA)
aave-eth-core,1,0xeE7ca610D896C53ffe716B801C05748EfD902954,EIP7702-EOA(delegate 0x7702cb554e6bfb442cb743a7df23154544a7176c),150.4044,13040027,8768128,USDC,EIP-7702 delegated EOA,N (EOA)
aave-eth-core,1,0x1CEBd13797636b94C5CaD7108CEbE42D2Fce7732,contract,89.2961,13213989,8657707,USDC,Safe 2/4 multisig (no vault or share-token logic; self-directed position),N
Compound v3 cUSDCv3 (WBTC),Ethereum,0x653b9d11f32b6f0b8bd2ae2724b2de5b031f8d8d,EOA,226.08,0,8340000,USDC,EOA,N (EOA)
Compound v3 cUSDCv3 (WBTC),Ethereum,0x3d10ed16c911cd22d100cbc00165c918a2df66bc,EOA,52.45,0,8220000,USDC,EOA,N (EOA)
Compound v3 cUSDCv3 (cbBTC),Ethereum,0x3d10ed16c911cd22d100cbc00165c918a2df66bc,EOA,33.46,0,8220000,USDC,EOA,N (EOA)
spark-eth,1,0xf67Ad2B5688f952900e1b29cBDf1B6dd5a167ABB,EOA,14.6591,30181741,8211954,USDT,EOA,N (EOA)
aave-eth-core,1,0x83A1c0bee065f65e82Cd2AF60ff8E5539aC344a8,EOA,100.0006,31662540,8198825,USDT,EOA,N (EOA)
Morpho Blue cbBTC/RLUSD,Ethereum,0x7b524b0308a776a7d4E65A2Db73bB37881818748,EOA,425.002,36794063,8179327,RLUSD,EOA,N (EOA)
spark-eth,1,0x7Efc5f1d8955D16516189548d679F6F92940fB62,EOA,210.01,18181240,7877068,USDT,EOA,N (EOA)
aave-eth-core,1,0x9AC60bd825EB8FD0240E4daf2646C1050830013e,EOA,70.0365,15854179,7575984,USDT,EOA,N (EOA)
Morpho Blue cbBTC/USDT,Ethereum,0x6df0DefE9EE31E407a8cD82a47e85A3637c3aD45,contract,229.3286,19853858,7428210,USDT,Safe 2/4 multisig (no vault or share-token logic; self-directed position),N
aave-eth-core,1,0x94def848159B30605AFE0c1D1AC43D6D588B940a,EOA,160.2657,15287168,7423396,USDT,EOA,N (EOA)
aave-eth-core,1,0x4dEBDD6CEe25b2F931D2FE265D70e1a533B02453,contract,129.5854,16215952,7358008,USDC,Safe 3/7 multisig (no vault or share-token logic; self-directed position),N
aave-eth-core,1,0xeBa958e17e20bcc638eDf37E44FCdDf5474Ac9bf,EOA,205.2095,25372407,7316705,USDT,EOA,N (EOA)
Morpho Blue WBTC/USDT,Ethereum,0x8409Bb3E2E17ca6edCb3530a7A47ae8418E5F3d4,EOA,113.6076,9835151,6867820,USDT,EOA,N (EOA)
aave-eth-core,1,0x030c4DA3889F135ae46FebD29Ce05053D58669bD,EOA,330.0048,28628450,6865538,USDC+USDT+EURC,EOA,N (EOA)
Morpho Blue WBTC/USDC,Ethereum,0xbdc3c47122d033ccd1Ad7b986071187Be597fF72,EOA,131.4275,11377840,6802687,USDC,EOA,N (EOA)
aave-eth-core,1,0x62e7b318FE59bD5584a99E7B6c5817698a2C235c,EOA,166.2866,25962890,6777454,USDT,EOA,N (EOA)
aave-eth-core,1,0xb7B7eb7E9611975Bc9715F22ce7e6Ee288296fd4,EOA,78.1514,13276978,6650157,USDC,EOA,N (EOA)
