project,chain,symbol,pool_meta,btc_0923,tvl_usd_0923,btc_can_be_lent,supply_apy_base_pct,supply_apy_reward_pct,supply_apy_total_pct,supply_apy_mean30d_pct,btc_utilization,btc_borrow_apy_pct,dollar_loan_apy_pct,note
morpho-blue,Monad,HYPERCBBTCA,,92.5,7894549,yes,2.6848,0,2.6848,2.24394,,,,
aave-v4,Avalanche,BTC.B,Core,91.3,7794186,yes,0,0,0,0.00986,,,,
compound-v3,Base,CBBTC,USDC-pool,90.2,7697097,no,0,0,0,0,,,,collateral pool: BTC is not lent; dollar_loan_apy = rate paid on the loan taken against it
aave-v3,Xlayer,XBTC,,89.7,7655848,yes,0.00758,0,0.00758,0.00696,0.0495,0.17018,,
justlend-v1,Tron,WBTC,,89.5,7641155,yes,0,0,0,0,0.0002,0.00096,,
tectonic,Cronos,WBTC,,88.3,7534099,yes,0.00074,0,0.00074,0.00076,0.0036,0.25435,,
accountable,Citrea,WCBTC,,80.4,6860950,yes,0.00223,0,0.00223,0.56343,,,,uncollateralized credit vault
aave-v3,Ethereum,EBTC,,80.2,6845226,yes,0,0,0,0,0.0,0,,
tydro,Ink,SOLVBTC,,76.7,6547723,yes,0,0,0,0,0.0,0,,
fluid-lending,Ethereum,CBBTC,,72.5,6186995,yes,0.01,0,0.01,0.02968,0.4753,5.77,,
sky-lending,Ethereum,WBTC,WBTC-C,72.2,6163221,no,0,0,0,0,,,14.25,CDP collateral: BTC earns nothing; dollar_loan_apy = stability fee / borrow rate
morpho-blue,Ethereum,MHYPERBTC,,72.1,6155153,no,0,0,0,0,,,9.81918,collateral pool: BTC is not lent; dollar_loan_apy = rate paid on the loan taken against it
morpho-blue,Ethereum,CBBTC,,71.5,6101040,no,0,0,0,0,,,3.17711,collateral pool: BTC is not lent; dollar_loan_apy = rate paid on the loan taken against it
benqi-lending,Avalanche,BTC.B,,66.6,5682178,yes,1.22359,0,1.22359,1.32837,0.7204,2.27656,,
jupiter-lend,Solana,CBBTC,cbBTC/USDC,64.6,5513450,yes,0,0,0,0,0.5581,5.68532,,
kava-mint,Kava,WBTC,,62.6,5342358,no,0,0,0,0,,,2.5,CDP collateral: BTC earns nothing; dollar_loan_apy = stability fee / borrow rate
morpho-blue,Monad,AHYPERBTC,,62.5,5337126,no,0,0,0,0,,,1.12737,collateral pool: BTC is not lent; dollar_loan_apy = rate paid on the loan taken against it
morpho-blue,Ethereum,CBBTC,,61.4,5243223,no,0,0,0,0,,,2.02016,collateral pool: BTC is not lent; dollar_loan_apy = rate paid on the loan taken against it
morpho-blue,Monad,MHYPERBTC,,58.9,5024832,no,0,0,0,0,,,4.31309,collateral pool: BTC is not lent; dollar_loan_apy = rate paid on the loan taken against it
