segment,protocol,slug,defillama_category,included_because,btc_total_0920,btc_borrowed_0920,btc_yieldbearing_0920,peak_month,peak_btc_supplied,btc_total_2024_09,yields_pools_0920_btc,yields_pools_n,chains_0920
curator,DAMM,damm-capital,Risk Curators,C0 slug in products.py,11.3,0,0,2026-09,11.3,0,,,Ethereum
curator,Odyssey,odyssey-digital-am,Risk Curators,C0 slug in products.py,8.62,0,0,2026-09,8.62,0,,,Ethereum
curator,K3 Capital,k3-capital,Risk Curators,C0 slug in products.py,8.1,0,0.13,2025-10,303.94,273.38,,,Arbitrum Ethereum
curator,Clearstar,clearstar,Risk Curators,C0 slug in products.py,8.02,0,0,2026-04,37.66,0,,,Base Hyperliquid L1
curator,AlphaGrowth,alphagrowth,Risk Curators,C0 slug in products.py,5.02,0,1.38,2026-06,8.04,0,,,Base Unichain
curator,Steakhouse,steakhouse-financial,Risk Curators,C0 slug in products.py,3.14,0,0,2025-03,65.75,0,,,Ethereum
curator,Re7 Labs,re7-labs,Risk Curators,C0 slug in products.py,1.93,0,0.0,2025-04,113.99,0,,,BOB Binance Ethereum World Chain
curator,MEV Capital,mev-capital,Risk Curators,C0 slug in products.py,1.92,0,0.13,2025-10,799.67,0,,,Ethereum Sui
curator,Tau Labs,tau-labs,Risk Curators,C0 slug in products.py,1.08,0,0,2026-02,81.32,0,,,Ethereum
curator,Apostro,apostro,Risk Curators,C0 slug in products.py,0.01,0,0.0,2025-01,56.62,0,,,
curator,B.Protocol,b.protocol-curator,Risk Curators,C0 slug in products.py,0,0,0,2024-12,322.1,0,,,
curator,Euler DAO,euler-dao,Risk Curators,C0 slug in products.py,0,0,0,2025-04,1074.11,0,,,
