month,category_code,tvl_usd_gross,tvl_btc_gross,tvl_usd_net,tvl_btc_net,share_net
2025-12,C2,8456012037,96476.71,6824041758,77857.17,0.7543
2025-12,C3,662309184,7556.45,662309184,7556.45,0.0732
2025-12,C4,8565558,97.73,8565558,97.73,0.0009
2025-12,C5,2940006,33.54,2940006,33.54,0.0003
2025-12,C6,1389866615,15857.33,1293837869,14761.71,0.143
2026-01,C1,256901897,3262.61,256901897,3262.61,0.0334
2026-01,C2,7323370445,93005.7,5812167670,73813.65,0.7546
2026-01,C3,552259051,7013.61,552259051,7013.61,0.0717
2026-01,C4,7602707,96.55,7602707,96.55,0.001
2026-01,C5,3284158,41.71,3284158,41.71,0.0004
2026-01,C6,1157345898,14698.12,1069604396,13583.82,0.1389
2026-02,C1,223593645,3338.55,223593645,3338.55,0.0377
2026-02,C2,5538494159,82697.1,4253411472,63509.1,0.7169
2026-02,C3,506660284,7565.11,506660284,7565.11,0.0854
2026-02,C4,7256511,108.35,7256511,108.35,0.0012
2026-02,C5,7618462,113.75,7618462,113.75,0.0013
2026-02,C6,1009647048,15075.38,934882793,13959.05,0.1576
2026-03,C1,226551014,3317.75,226551014,3317.75,0.0364
2026-03,C2,5901720144,86428.43,4549041674,66618.97,0.73
2026-03,C3,486336871,7122.22,486336871,7122.22,0.078
2026-03,C4,9461834,138.56,9461834,138.56,0.0015
2026-03,C5,13576745,198.83,13576745,198.83,0.0022
2026-03,C6,1022596449,14975.53,946845754,13866.19,0.1519
2026-04,C1,183825690,2407.78,183825690,2407.78,0.0265
2026-04,C2,6539898905,85660.68,5086741288,66626.98,0.7334
2026-04,C3,554782271,7266.63,554782271,7266.63,0.08
2026-04,C4,8801564,115.28,8801564,115.28,0.0013
2026-04,C5,12766282,167.22,12766282,167.22,0.0018
2026-04,C6,1173577863,15371.73,1089130029,14265.61,0.157
2026-05,C1,268725107,3647.47,268725107,3647.47,0.0401
2026-05,C2,6192365927,84050.45,4851575193,65851.58,0.7245
2026-05,C3,531811046,7218.4,531811046,7218.4,0.0794
2026-05,C4,9199398,124.87,9199398,124.87,0.0014
2026-05,C5,24077822,326.81,24077822,326.81,0.0036
2026-05,C6,1089021900,14781.56,1011108382,13724.02,0.151
2026-06,C1,386217224,6587.96,386217224,6587.96,0.0712
2026-06,C2,4836124019,82492.93,3849605872,65665.24,0.7093
2026-06,C3,416109125,7097.85,416109125,7097.85,0.0767
2026-06,C4,6716711,114.57,6716711,114.57,0.0012
2026-06,C5,15348057,261.8,15348057,261.8,0.0028
2026-06,C6,814558950,13894.47,753064073,12845.51,0.1388
2026-07,C1,517968580,8236.38,517968580,8236.38,0.089
2026-07,C2,4547746318,72315.15,4086213841,64976.17,0.7018
2026-07,C3,415303122,6603.86,415303122,6603.86,0.0713
2026-07,C4,7659261,121.79,7659261,121.79,0.0013
2026-07,C5,42524973,676.2,42524973,676.2,0.0073
2026-07,C6,819288953,13027.78,753011786,11973.88,0.1293
2026-08,C1,707312518,9001.03,707312518,9001.03,0.0988
2026-08,C2,4852961370,61757.21,4284675246,54525.39,0.5984
2026-08,C3,529290813,6735.58,529290813,6735.58,0.0739
2026-08,C4,691707281,8802.44,641153472,8159.11,0.0895
2026-08,C5,101818651,1295.71,101818651,1295.71,0.0142
2026-08,C6,978893373,12457.08,896130808,11403.87,0.1252
2026-09,C1,753164789,9277.94,753164789,9277.94,0.0993
2026-09,C2,5207489899,64149.03,4590574448,56549.49,0.605
2026-09,C3,536599352,6610.16,536599352,6610.16,0.0707
2026-09,C4,702552457,8654.47,648782904,7992.1,0.0855
2026-09,C5,134377065,1655.34,134377065,1655.34,0.0177
2026-09,C6,1009060285,12430.22,923623245,11377.75,0.1217
